Period,Value
Jan-2011,51208
Feb-2011,51232
Mar-2011,57374
Apr-2011,61806
May-2011,65689
Jun-2011,72754
Jul-2011,72513
Aug-2011,77261
Sep-2011,76121
Oct-2011,74042
Nov-2011,68444
Dec-2011,62794
Jan-2012,56833
Feb-2012,57226
Mar-2012,62056
Apr-2012,67283
May-2012,72523
Jun-2012,77908
Jul-2012,78650
Aug-2012,81516
Sep-2012,79783
Oct-2012,80703
Nov-2012,73495
Dec-2012,66427
Jan-2013,59372
Feb-2013,59462
Mar-2013,64790
Apr-2013,71250
May-2013,76461
Jun-2013,81693
Jul-2013,85069
Aug-2013,87533
Sep-2013,86544
Oct-2013,87305
Nov-2013,80470
Dec-2013,74635
Jan-2014,68096
Feb-2014,67638
Mar-2014,74653
Apr-2014,81575
May-2014,86368
Jun-2014,91505
Jul-2014,93381
Aug-2014,94100
Sep-2014,94062
Oct-2014,95774
Nov-2014,87118
Dec-2014,81022
Jan-2015,73376
Feb-2015,74034
Mar-2015,83158
Apr-2015,90910
May-2015,97333
Jun-2015,105659
Jul-2015,106451
Aug-2015,107500
Sep-2015,106384
Oct-2015,104002
Nov-2015,95261
Dec-2015,88049
Jan-2016,80001
Feb-2016,82432
Mar-2016,91924
Apr-2016,96614
May-2016,102564
Jun-2016,110994
Jul-2016,110931
Aug-2016,112959
Sep-2016,111866
Oct-2016,110932
Nov-2016,105588
Dec-2016,96341
Jan-2017,87395
Feb-2017,89404
Mar-2017,99300
Apr-2017,103437
May-2017,111213
Jun-2017,116270
Jul-2017,116873
Aug-2017,117941
Sep-2017,115692
Oct-2017,114206
Nov-2017,109340
Dec-2017,98770
Jan-2018,93933
Feb-2018,95693
Mar-2018,105159
Apr-2018,110800
May-2018,117944
Jun-2018,121653
Jul-2018,122236
Aug-2018,124058
Sep-2018,119254
Oct-2018,116517
Nov-2018,108740
Dec-2018,97197
Jan-2019,91891
Feb-2019,92904
Mar-2019,102949
Apr-2019,110679
May-2019,117997
Jun-2019,124634
Jul-2019,129454
Aug-2019,131619
Sep-2019,129383
Oct-2019,127326
Nov-2019,121672
Dec-2019,110530
Jan-2020,106218
Feb-2020,107295
Mar-2020,117793
Apr-2020,119926
May-2020,125114
Jun-2020,132608
Jul-2020,135287
Aug-2020,137555
Sep-2020,136354
Oct-2020,135012
Nov-2020,128438
Dec-2020,117970
Jan-2021,113425
Feb-2021,111728
Mar-2021,127095
Apr-2021,133175
May-2021,140665
Jun-2021,148786
Jul-2021,152128
Aug-2021,153944
Sep-2021,150442
Oct-2021,147631
Nov-2021,143099
Dec-2021,131260
Jan-2022,127951
Feb-2022,130538
Mar-2022,148686
Apr-2022,158117
May-2022,167862
Jun-2022,174750
Jul-2022,176177
Aug-2022,177867
Sep-2022,171905
Oct-2022,166908
Nov-2022,157933
Dec-2022,144009
Jan-2023,139736
Feb-2023,141283
Mar-2023,157866
Apr-2023,166932
May-2023,179139
Jun-2023,188191
Jul-2023,189724
Aug-2023,194791
Sep-2023,189529
Oct-2023,187152
Nov-2023,178500
Dec-2023,163333
Jan-2024,154760
Feb-2024,157355
Mar-2024,171321
Apr-2024,182852
May-2024,193296
Jun-2024,199312
Jul-2024,201052
Aug-2024,203769
Sep-2024,195498
Oct-2024,192198
Nov-2024,180040
Dec-2024,163300
